country,average_age
Panama,18.0
Slovakia,19.0
Sierra Leone,19.0
Israel,19.0
Syria,19.0
Bolivia,19.0
Kyrgyzstan,19.0
Rwanda,19.0
Venezuela,19.0
Hungary,19.333333333333332
Türkiye,19.370967741935484
Lithuania,19.5
Montenegro,19.5
Cote d'Ivoire,19.53846153846154
Scotland,19.645390070921987
Burkina Faso,19.666666666666668
Croatia,19.7
Denmark,19.725274725274726
"Korea, South",19.75
Slovenia,19.77777777777778
France,19.778280542986426
Belgium,19.81547619047619
Greece,19.836363636363636
Curacao,19.857142857142858
Ukraine,19.868181818181817
United States,19.894736842105264
Ghana,19.904761904761905
Poland,19.928571428571427
Serbia,19.95
Morocco,19.954545454545453
England,19.954954954954953
Germany,19.96969696969697
Iceland,20.0
Burundi,20.0
Bulgaria,20.0
Congo,20.0
South Africa,20.0
Armenia,20.0
Bosnia-Herzegovina,20.0
Moldova,20.0
Tajikistan,20.0
Gabon,20.0
Dominican Republic,20.0
Czech Republic,20.0
United Arab Emirates,20.0
Nigeria,20.035714285714285
Senegal,20.037037037037038
Italy,20.044692737430168
Portugal,20.053571428571427
Norway,20.066666666666666
Netherlands,20.10326086956522
Ireland,20.125
Georgia,20.125
Mali,20.142857142857142
Spain,20.152439024390244
Argentina,20.17391304347826
Russia,20.18285714285714
DR Congo,20.2
Guinea-Bissau,20.2
Uruguay,20.2
Australia,20.22222222222222
Japan,20.22222222222222
Guinea,20.22222222222222
Luxembourg,20.25
Iran,20.25
Costa Rica,20.25
Brazil,20.264705882352942
Sweden,20.26923076923077
Romania,20.285714285714285
Mexico,20.285714285714285
Switzerland,20.3
Finland,20.333333333333332
Chile,20.333333333333332
Wales,20.333333333333332
Canada,20.333333333333332
Cyprus,20.333333333333332
North Macedonia,20.333333333333332
Paraguay,20.333333333333332
The Gambia,20.375
Egypt,20.4
Turkey,20.415730337078653
Cameroon,20.416666666666668
Angola,20.428571428571427
Ecuador,20.444444444444443
Togo,20.5
Albania,20.5
Algeria,20.5
Austria,20.5
Belarus,20.5
Jamaica,20.5
Colombia,20.583333333333332
Northern Ireland,20.6
Tunisia,20.666666666666668
Comoros,20.666666666666668
Uzbekistan,21.0
China,21.0
Estonia,21.0
Faroe Islands,21.0
Saudi Arabia,21.0
Indonesia,21.0
Iraq,21.0
Thailand,21.0
Tanzania,21.0
Zambia,21.0
Kosovo,21.0
Madagascar,21.0
New Zealand,21.0
Singapore,21.0
Zimbabwe,21.0
