country,avg_market_value_u21
Albania,687500.0
Algeria,885416.6666666666
Angola,758333.3333333334
Argentina,11090909.090909092
Armenia,500000.0
Australia,1255555.5555555555
Austria,1497500.0
Belarus,430000.0
Belgium,2467400.0
Bolivia,500000.0
Bosnia-Herzegovina,1053571.4285714286
Brazil,6701612.903225807
Bulgaria,550000.0
Burkina Faso,500000.0
Burundi,50000.0
Cameroon,4868750.0
Canada,1566666.6666666667
Chile,4166666.6666666665
China,10000.0
Colombia,4950000.0
Comoros,116666.66666666667
Congo,600000.0
Costa Rica,1650000.0
Cote d'Ivoire,3585714.285714286
Croatia,3141666.6666666665
Curacao,285714.28571428574
Cyprus,1000000.0
Czech Republic,431250.0
DR Congo,8400000.0
Denmark,1089453.125
Dominican Republic,175000.0
Ecuador,5261111.111111111
Egypt,431250.0
England,4537297.297297297
Estonia,125000.0
Faroe Islands,150000.0
Finland,759375.0
France,3886507.9365079366
Gabon,650000.0
Georgia,1462500.0
Germany,3954913.793103448
Ghana,3159722.222222222
Greece,856410.2564102564
Guinea,1288888.888888889
Guinea-Bissau,2825000.0
Hungary,15333333.333333334
Iceland,3866666.6666666665
Indonesia,350000.0
Iran,575000.0
Iraq,1725000.0
Ireland,2114473.6842105263
Israel,2466666.6666666665
Italy,1595251.572327044
Jamaica,1550000.0
Japan,1937500.0
"Korea, South",666666.6666666666
Kosovo,200000.0
Kyrgyzstan,400000.0
Lithuania,5000000.0
Luxembourg,318750.0
Madagascar,150000.0
Mali,1332142.857142857
Mexico,1600000.0
Moldova,105000.0
Montenegro,1600000.0
Morocco,3791447.3684210526
Netherlands,1791373.2394366197
New Zealand,500000.0
Nigeria,1500000.0
North Macedonia,200000.0
Northern Ireland,3544230.769230769
Norway,6678571.428571428
Panama,100000.0
Paraguay,8766666.666666666
Poland,1164285.7142857143
Portugal,4337349.397590362
Romania,707142.8571428572
Russia,566143.7908496732
Rwanda,1000000.0
Saudi Arabia,625000.0
Scotland,487096.77419354836
Senegal,3305555.5555555555
Serbia,2285000.0
Sierra Leone,4000000.0
Singapore,100000.0
Slovakia,2575000.0
Slovenia,8457500.0
South Africa,650000.0
Spain,6645588.235294118
Sweden,4882000.0
Switzerland,1786111.111111111
Syria,
Tajikistan,200000.0
Tanzania,350000.0
Thailand,50000.0
The Gambia,3946875.0
Togo,1275000.0
Tunisia,783333.3333333334
Turkey,90818.18181818182
Türkiye,1108286.5168539325
Ukraine,411504.42477876105
United Arab Emirates,
United States,1878947.3684210526
Uruguay,3720000.0
Uzbekistan,14533333.333333334
Venezuela,1150000.0
Wales,1170000.0
Zambia,125000.0
Zimbabwe,500000.0
